Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"3,915,888","635,689","359,322","328,711","324,172","7,670,193","14,465,746","8,325,290","5,902,058","5,819,093","5,347.00","19,756.00",7.20,8.39,5.74,2.33,"321,364","Quý 3/2010
01/07-30/09
CKT/HN"
"3,345,842","547,282","362,184","348,823","341,742","7,093,640","13,319,451","7,523,293","6,395,459","5,478,655","6,194.00","18,600.00",6.70,10.43,6.46,2.84,"317,503","Quý 2/2010
01/04-30/06
CKT/HN"
"2,518,103","463,205","322,564","282,744","278,086","5,401,609","10,740,188","5,398,391","4,744,495","5,096,386","6,403.00","25,954.00",9.76,11.23,5.61,2.65,"245,412","Quý 1/2010
01/01-31/03
CKT/HN"
"2,382,528","506,787","305,035","233,774","238,335","5,413,211","10,246,816","5,173,764","4,614,279","4,833,170","6,519.00","24,613.00",8.97,9.81,4.91,2.56,"239,882","Quý 4/2009
01/10-31/12
CKT/HN"
"2,115,699","539,069","412,251","358,602","358,142","4,117,769","8,395,272","3,307,808","2,653,019","4,865,825","4,121.00","24,780.00",17.35,16.95,7.64,4.46,"221,639","Quý 3/2009
01/07-30/09
CKT/HN"
"2,030,231","482,914","443,488","385,021","382,802","3,700,165","7,679,610","2,927,455","2,388,020","4,510,549","3,522.00","22,970.00",15.33,18.96,8.63,5.60,"241,606","Quý 2/2009
01/04-30/06
CKT/HN"
"1,586,783","446,958","352,609","301,633","300,827","4,037,687","5,990,699","1,392,265","1,090,237","4,359,232","3,876.00","22,200.00",7.92,19.01,7.14,5.17,"239,202","Quý 1/2009
01/01-31/03
CKT/HN"
"1,813,193","-192,254","-246,095","-231,887","-232,653","3,821,160","5,614,176","1,317,553","1,289,251","4,063,416","5,143.00","20,693.00",6.13,-12.79,-5.41,-4.10,"233,208","Quý 4/2008
01/10-31/12
CKT/HN"
"1,614,760","310,442","266,085","235,489","234,316","4,004,895","5,731,836","1,030,640","988,593","4,543,744","8,806.00","23,139.00",6.36,14.58,5.17,3.94,"157,452","Quý 3/2008
01/07-30/09
CKT/HN"
"2,641,105","579,299","451,926","396,276","395,286","4,326,060","6,162,119","1,555,802","1,290,883","4,514,528","9,377.00","32,187.00",5.49,15.00,9.76,6.74,"91,788","Quý 2/2008
01/04-30/06
CKT/HN"
"2,285,990","553,581","517,869","451,800","450,502","3,921,453","5,570,314","1,897,628","1,632,574","3,581,890","7,598.00","27,136.00",8.75,19.76,13.44,8.72,"90,795","Quý 1/2008
01/01-31/03
CKT/HN"
"1,821,632","344,621","280,193","240,940","240,354","3,094,384","4,685,010","1,471,170","1,406,283","3,133,143","4,941.00","23,736.00",19.23,13.23,7.78,5.70,"80,697","Quý 4/2007
01/10-31/12
CKT/HN"
"1,432,509","236,544","188,957","159,494","158,971","2,620,194","3,751,615","698,862","620,746","3,047,441","3,121.00","23,087.00",0,11.13,5.55,4.31,"5,312","Quý 3/2007
01/07-30/09
CKT/HN"
"1,332,191","231,184","181,020","153,676","153,169","2,264,905","3,632,908","947,449","867,484","2,680,670","1,950.00","20,665.00",0,11.54,7.89,4.99,"4,789","Quý 2/2007
01/04-30/06
CKT/HN"
"1,821,632","344,621","280,193","240,940","240,354","3,094,384","4,685,010","1,471,170","1,406,283","3,133,143","4,941.00","23,736.00",19.23,13.23,7.78,5.70,"80,697","Quý 4/2007
01/10-31/12
CKT/HN"
"1,432,509","236,544","188,957","159,494","158,971","2,620,194","3,751,615","698,862","620,746","3,047,441","3,121.00","23,087.00",0,11.13,5.55,4.31,"5,312","Quý 3/2007
01/07-30/09
CKT/HN"
"1,332,191","231,184","181,020","153,676","153,169","2,264,905","3,632,908","947,449","867,484","2,680,670","1,950.00","20,665.00",0,11.54,7.89,4.99,"4,789","Quý 2/2007
01/04-30/06
CKT/HN"
"1,054,722","172,294","117,697","100,050","99,768","1,586,262","2,511,465","1,305,371","1,210,917","1,201,812",907.00,"10,926.00",0,9.49,13.02,6.20,"4,282","Quý 1/2007
01/01-31/03
CKT/HN"
