Doanh thu thuần,LN gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích CĐ thiểu số,Time
"2,040,435","304,753","-490,994","351,945","305,474","24,378,059","55,793,513","41,547,653","5,832,691","12,119,525","1,390.00","17,810.00",27.2,17.25,7.74,1.84,"2,126,335","Quý 4/2014
01/10-31/12
CKT/HN"
"2,131,065","446,089","-122,921","315,086","280,513","19,750,002","51,632,620","37,692,471","7,829,220","11,835,131","1,376.00","17,393.00",27.18,14.79,7.67,1.91,"2,105,018","Quý 3/2014
01/07-30/09
CKT/HN"
"2,194,994","489,904","-107,071","124,899","181,240","18,476,896","48,803,168","34,263,194","6,482,644","12,522,944","1,366.00","18,403.00",30.83,5.69,7.63,1.96,"2,017,030","Quý 2/2014
01/04-30/06
CKT/HN"
"3,200,642","1,033,393","244,881","129,761","178,533","17,135,967","49,290,410","34,858,494","34,858,494","12,406,238","1,484.00","18,232.00",33.43,4.05,8.46,2.15,"2,025,678","Quý 1/2014
01/01-31/03
CKT/HN"
"2,188,116","391,008","-263,364","304,169","296,165","17,602,636","46,116,913","32,005,903","3,838,475","12,047,659","1,619.00","17,705.00",23.72,13.9,9.43,2.43,"2,063,351","Quý 4/2013
01/10-31/12
CKT/HN"
"2,076,942","376,059","-148,597","279,079","273,387","18,859,832","45,535,345","32,429,955","4,392,284","11,770,044","1,898.00","17,297.00",17.07,13.44,11.14,2.89,"1,335,347","Quý 3/2013
01/07-30/09
CKT/HN"
"2,174,788","411,370","-138,490","301,373","261,598","20,225,143","47,135,473","34,307,535","6,241,755","11,498,222","1,496.00","16,897.00",29.35,13.86,12.76,3.27,"1,329,717","Quý 2/2013
01/04-30/06
CKT/HN"
"3,176,056","1,218,438","477,837","288,757","270,624","7,589,534","42,598,852","29,853,961","26,826,160","11,404,929","1,480.00","16,760.00",50.69,9.09,12.63,3.32,"1,339,962","Quý 1/2013
01/01-31/03
SX/HN"
"2,191,999","631,933","60,848","476,076","485,695","17,101,464","43,759,873","30,746,116","4,036,045","11,697,155","1,494.00","17,190.00",27.44,21.72,12.59,3.31,"1,316,602","Quý 4/2012
01/10-31/12
CKT/HN"
"1,930,896","341,587","-213,059","472,726","443,875","19,333,594","45,264,057","32,713,049","4,708,760","11,229,788","1,753.00","16,503.00",38.21,24.48,10.38,2.65,"1,321,220","Quý 3/2012
01/07-30/09
CKT/HN"
