Doanh thu thuần,Lợi nhuận gộp,LN thuần từ HĐKD,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Lợi ích của CĐ thiểu số,Time
"4,437,440","1,987,282","1,019,836","687,226","178,602","11,199,004","46,489,285","23,237,638","9,974,373","14,947,157",614.00,"20,339.00",134.27,15.49,1.30,0.39,"8,304,490","Quý 4/2013
01/10-31/12
CKT/HN"
"3,235,014","1,394,398","556,775","308,661","114,648","9,932,804","43,996,996","22,303,796","7,172,597","12,630,761",558.00,"17,912.00",153.10,9.54,0.82,0.27,"9,062,439","Quý 3/2013
01/07-30/09
CKT/HN"
"2,736,093","1,111,321","515,456","267,201","135,102","8,580,583","41,398,215","18,769,778","5,879,324","15,233,252",888.00,"21,603.00",100.17,9.77,0.88,0.33,"7,395,185","Quý 2/2013
01/04-30/06
CKT/HN"
"1,533,986","507,299","51,550","35,131",619,"9,315,114","40,619,911","18,528,663","5,551,360","15,527,440","1,632.00","22,593.00",75.97,2.29,0,0,"6,563,808","Quý 1/2013
01/01-31/03
CKT/HN"
"3,654,411","1,530,304","961,081","412,848","136,297","9,221,222","38,748,657","18,989,300","5,187,651","13,928,031","2,349.00","20,265.00",43.42,11.30,0.93,0.35,"5,831,326","Quý 4/2012
01/10-31/12
CKT/HN"
"2,673,129","1,084,571","557,682","480,993","316,799","13,638,811","38,949,558","17,529,045","3,341,255","15,292,716","3,964.00","22,251.00",24.34,17.99,2.12,0.84,"6,127,797","Quý 3/2012
01/07-30/09
CKT/HN"
"2,370,837","996,307","803,618","714,918","557,576","12,494,970","36,175,864","15,554,021","2,373,933","14,650,242","4,317.00","21,316.00",23.17,30.15,3.61,1.48,"5,971,601","Quý 2/2012
01/04-30/06
CKT/HN"
"1,537,553","559,058","466,196","450,016","349,945","17,127,119","39,337,316","17,329,597","3,252,450","16,227,372","3,841.00","31,493.00",29.68,29.27,2.18,0.96,"5,780,347","Quý 1/2012
01/01-31/03
CKT/HN"
"2,810,859","1,253,447","972,758","1,133,788","894,730","12,537,566","32,995,489","11,876,811","3,626,085","15,877,361","3,818.00","30,814.00",23.71,40.34,5.80,2.83,"5,241,317","Quý 4/2011
01/10-31/12
CKT/HN"
"1,407,363","623,257","591,098","547,590","422,076","11,707,042","30,136,058","10,498,544","2,150,878","14,983,051","6,156.00","29,078.00",19.49,38.91,2.85,1.48,"4,654,463","Quý 3/2011
01/07-30/09
CKT/HN"
"1,512,704","612,928","533,423","435,066","312,533","9,052,011","26,829,990","7,656,333","1,612,133","14,624,691","5,881.00","28,382.00",16.49,28.76,2.35,1.25,"4,548,966","Quý 2/2011
01/04-30/06
CKT/HN"
"1,325,922","567,106","395,514","388,858","337,818","5,805,411","23,297,442","7,916,748","2,027,040","12,022,020","5,845.00","23,331.00",14.03,29.33,2.98,1.52,"3,358,674","Quý 1/2011
01/01-31/03
CKT/HN"
"2,100,435","933,681","2,141,173","2,227,055","2,061,765","4,648,938","20,921,926","8,267,656","3,241,119","11,019,149","5,453.00","21,385.00",13.75,106.03,25.28,13.84,"1,635,121","Quý 4/2010
01/10-31/12
CKT/HN"
"1,404,954","610,702","371,482","323,488","236,573","4,035,956","8,863,869","2,988,214","1,369,334","5,291,306","1,567.00","10,812.00",31.58,23.02,4.55,2.92,"584,349","Quý 3/2010
01/07-30/09
CKT/HN"
"1,216,840","530,110","332,728","320,760","239,789","2,586,125","7,314,301","1,802,758","1,041,348","5,096,219","1,079.00","10,499.00",47.25,26.36,4.82,3.31,"415,324","Quý 2/2010
01/04-30/06
CKT/HN"
"1,404,954","610,702","371,482","323,488","236,573","4,035,956","8,863,869","2,988,214","1,369,334","5,291,306","1,567.00","10,812.00",31.58,23.02,4.55,2.92,"584,349","Quý 3/2010
01/07-30/09
CKT/HN"
"1,216,840","530,110","332,728","320,760","239,789","2,586,125","7,314,301","1,802,758","1,041,348","5,096,219","1,079.00","10,499.00",47.25,26.36,4.82,3.31,"415,324","Quý 2/2010
01/04-30/06
CKT/HN"
"862,376","322,623","127,458","124,406","96,571","2,513,932","7,190,076","1,999,496","1,212,615","4,856,229",577.00,"10,005.00",63.62,14.43,2.01,1.36,"334,351","Quý 1/2010
01/01-31/03
CKT/HN"
"1,353,084","492,481","267,940","254,759","178,238","2,447,737","6,987,321","1,944,175","1,188,982","4,736,824",374.00,"9,759.00",91.41,18.83,7.53,5.10,"306,322","Quý 4/2009
01/10-31/12
CKT/HN"
