DT từ KD chứng khoán,Lợi nhuận gộp,LNT từ KD chứng khoán,LNST thu nhập DN,LNST của CĐ cty mẹ,Tài sản ngắn hạn,Các khoản cho vay,Tổng tài sản,Nợ phải trả,Nợ ngắn hạn,Vốn chủ sở hữu,Lợi ích của cổ đông thiểu số,EPS của 4 quý gần nhất,BVPS cơ bản,P/E cơ bản,ROS,ROEA,ROAA,Time
"462,155","285,564","283,776","267,899","267,899","4,738,111",,"7,076,985","2,258,484","1,895,264","4,818,501",,"5,485.00","31,425.00",15.41,57.97,18.19,12.26,"Quý 4/2010
01/10-31/12
CKT/HN"
"355,534","333,240","330,513","300,937","300,937","4,517,999",,"7,104,820","2,400,895","1,974,848","4,703,924",,"4,071.00","30,678.00",20.39,84.64,13.76,9.32,"Quý 3/2010
01/07-30/09
CKT/HN"
"198,935","218,849","218,849","204,969","204,969","3,594,441",,"6,562,889","2,379,565","1,778,285","4,183,324",,"3,899.00","27,283.00",16.42,103.03,13.33,9.05,"Quý 2/2010
01/04-30/06
CKT/HN"
"104,902","48,652","48,652","30,275","30,275","2,453,072",,"5,496,157","1,516,836","943,489","3,979,321",,"1,407.00","25,952.00",19.55,28.86,4.84,3.34,"Quý 1/2010
01/01-31/03
CKT/HN"
"269,327","43,043","43,043","40,985","40,985","2,831,855",,"5,620,293","1,712,090","935,465","3,908,202",,"2,071.00","28,597.00",13.91,15.22,6.84,4.60,"Quý 4/2009
01/10-31/12
CKT/HN"
"417,238","247,453","247,453","260,740","260,740","3,031,200",,"6,065,540","2,025,254","1,128,443","4,040,286",,"2,864.00","29,941.00",18.85,62.49,8.42,5.58,"Quý 3/2009
01/07-30/09
CKT/HN"
"250,863","-101,935","-101,935","-141,620","-141,620","2,770,249",,"5,644,953","1,848,050","941,389","3,796,902",,"1,703.00","27,782.00",18.79,-56.45,4.02,2.62,"Quý 2/2009
01/04-30/06
CKT/HN"
"385,374","123,436","123,436","114,357","114,357","3,486,631",,"6,560,311","2,262,929","1,330,928","4,297,382",,"6,865.00","31,444.00",8.23,29.67,14.32,8.61,"Quý 1/2009
01/01-31/03
CKT/HN"
"240,618","119,260","119,059","107,104","107,104","2,974,804",,"6,134,410","2,082,561","1,525,902","4,051,849",,"15,238.00","33,765.00",11.03,44.51,29.73,15.51,"Quý 4/2008
01/10-31/12
CKT/HN"
"170,778","92,353","91,893","82,902","82,902","6,204,084",,"6,494,723","2,466,252","1,820,697","4,028,470",,"15,029.00","80,569.00",13.42,48.54,0,0,"Quý 3/2008
01/07-30/09
CKT/HN"
"302,205","226,462","226,282","203,875","203,875","4,216,618",,"4,422,816","2,599,726","1,756,244","1,823,090",,"13,371.00","36,462.00",11.46,67.46,0.01,0,"Quý 2/2008
01/04-30/06
CKT/HN"
"240,618","119,260","119,059","107,104","107,104","2,974,804",,"6,134,410","2,082,561","1,525,902","4,051,849",,"15,238.00","33,765.00",11.03,44.51,29.73,15.51,"Quý 1/2008
01/01-31/03
CKT/HN"
"170,778","92,353","91,893","82,902","82,902","6,204,084",,"6,494,723","2,466,252","1,820,697","4,028,470",,"15,029.00","80,569.00",13.42,48.54,0,0,"Quý 4/2007
01/10-31/12
CKT/HN"
"302,205","226,462","226,282","203,875","203,875","4,216,618",,"4,422,816","2,599,726","1,756,244","1,823,090",,"13,371.00","36,462.00",11.46,67.46,0.01,0,"Quý 3/2007
01/07-30/09
CKT/HN"
"579,192","516,542","516,287","464,669","464,669","4,907,504",,"5,084,884","3,435,841","2,575,440","1,649,043",,"9,293.00","32,981.00",24.82,80.23,0.01,0,"Quý 2/2007
01/04-30/06
CKT/HN"
,,,,,,,,,,,,,,,,,,"Quý 4/2007
01/10-31/12
CKT/HN"
,,,,,,,,,,,,,,,,,,"Quý 3/2007
01/07-30/09
CKT/HN"
,,,,,,,,,,,,,,,,,,"Quý 2/2007
01/04-30/06
CKT/HN"
,,,,,,,,,,,,,,,,,,"Quý 1/2007
01/01-31/03
CKT/HN"
